11cm	12cm	14cm	15cm	16cm	18cm	20cm	22cm	23cm	26cm	29cm	35cm	37cm	40cm	48cm	51cm	55cm	62cm	63cm	65cm	66cm	6cm	71cm	77cm	9cm	null
11cm	0	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_0_h.wav
11cm	0	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_0_l.wav
11cm	10	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_10_h.wav
11cm	10	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_10_l.wav
11cm	11	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_11_h.wav
11cm	11	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_11_l.wav
11cm	12	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_12_h.wav
11cm	12	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_12_l.wav
11cm	13	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_13_h.wav
11cm	13	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_13_l.wav
11cm	14	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_14_h.wav
11cm	14	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_14_l.wav
11cm	15	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_15_h.wav
11cm	15	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_15_l.wav
11cm	16	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_16_h.wav
11cm	16	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_16_l.wav
11cm	17	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_17_h.wav
11cm	17	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_17_l.wav
11cm	18	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_18_h.wav
11cm	18	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_18_l.wav
11cm	19	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_19_h.wav
11cm	19	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_19_l.wav
11cm	1	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_1_h.wav
11cm	1	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_1_l.wav
11cm	20	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_20_h.wav
11cm	20	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_20_l.wav
11cm	21	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_21_h.wav
11cm	21	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_21_l.wav
11cm	22	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_22_h.wav
11cm	22	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_22_l.wav
11cm	23	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_23_h.wav
11cm	23	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_23_l.wav
11cm	24	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_24_h.wav
11cm	24	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_24_l.wav
11cm	25	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_25_h.wav
11cm	25	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_25_l.wav
11cm	26	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_26_h.wav
11cm	26	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_26_l.wav
11cm	27	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_27_h.wav
11cm	27	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_27_l.wav
11cm	28	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_28_h.wav
11cm	28	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_28_l.wav
11cm	29	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_29_h.wav
11cm	29	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_29_l.wav
11cm	2	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_2_h.wav
11cm	2	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_2_l.wav
11cm	30	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_30_h.wav
11cm	30	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_30_l.wav
11cm	31	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_31_h.wav
11cm	31	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_31_l.wav
11cm	32	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_32_h.wav
11cm	32	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_32_l.wav
11cm	33	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_33_h.wav
11cm	33	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_33_l.wav
11cm	34	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_34_h.wav
11cm	34	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_34_l.wav
11cm	35	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_35_h.wav
11cm	35	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_35_l.wav
11cm	36	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_36_h.wav
11cm	36	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_36_l.wav
11cm	37	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_37_h.wav
11cm	37	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_37_l.wav
11cm	38	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_38_h.wav
11cm	38	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_38_l.wav
11cm	39	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_39_h.wav
11cm	39	l	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_39_l.wav
11cm	3	h	chunk_(hw:CARD=Microphone_1,DEV=0)_11cm_3_h.wav
