echop,noise_0.009999999776482582_ln_0.0,noise_0.009999999776482582_ln_0.007499999832361937,noise_0.009999999776482582_ln_0.014999999664723873,noise_0.009999999776482582_ln_0.022499999031424522,noise_0.009999999776482582_ln_0.029999999329447746,noise_0.009999999776482582_ln_0.03749999776482582,noise_0.009999999776482582_ln_0.044999998062849045,noise_0.009999999776482582_ln_0.05249999836087227,noise_0.009999999776482582_ln_0.05999999865889549,noise_0.009999999776482582_ln_0.06749999523162842,noise_0.009999999776482582_ln_0.07499999552965164,noise_0.009999999776482582_ln_0.08249999582767487,noise_0.009999999776482582_ln_0.08999999612569809,noise_0.009999999776482582_ln_0.09749999642372131,noise_0.017500000074505806_ln_0.0,noise_0.017500000074505806_ln_0.007499999832361937,noise_0.017500000074505806_ln_0.014999999664723873,noise_0.017500000074505806_ln_0.022499999031424522,noise_0.017500000074505806_ln_0.029999999329447746,noise_0.017500000074505806_ln_0.03749999776482582,noise_0.017500000074505806_ln_0.044999998062849045,noise_0.017500000074505806_ln_0.05249999836087227,noise_0.017500000074505806_ln_0.05999999865889549,noise_0.017500000074505806_ln_0.06749999523162842,noise_0.017500000074505806_ln_0.07499999552965164,noise_0.017500000074505806_ln_0.08249999582767487,noise_0.017500000074505806_ln_0.08999999612569809,noise_0.017500000074505806_ln_0.09749999642372131,noise_0.02500000037252903_ln_0.0,noise_0.02500000037252903_ln_0.007499999832361937,noise_0.02500000037252903_ln_0.014999999664723873,noise_0.02500000037252903_ln_0.022499999031424522,noise_0.02500000037252903_ln_0.029999999329447746,noise_0.02500000037252903_ln_0.03749999776482582,noise_0.02500000037252903_ln_0.044999998062849045,noise_0.02500000037252903_ln_0.05249999836087227,noise_0.02500000037252903_ln_0.05999999865889549,noise_0.02500000037252903_ln_0.06749999523162842,noise_0.02500000037252903_ln_0.07499999552965164,noise_0.02500000037252903_ln_0.08249999582767487,noise_0.02500000037252903_ln_0.08999999612569809,noise_0.02500000037252903_ln_0.09749999642372131,noise_0.032499998807907104_ln_0.0,noise_0.032499998807907104_ln_0.007499999832361937,noise_0.032499998807907104_ln_0.014999999664723873,noise_0.032499998807907104_ln_0.022499999031424522,noise_0.032499998807907104_ln_0.029999999329447746,noise_0.032499998807907104_ln_0.03749999776482582,noise_0.032499998807907104_ln_0.044999998062849045,noise_0.032499998807907104_ln_0.05249999836087227,noise_0.032499998807907104_ln_0.05999999865889549,noise_0.032499998807907104_ln_0.06749999523162842,noise_0.032499998807907104_ln_0.07499999552965164,noise_0.032499998807907104_ln_0.08249999582767487,noise_0.032499998807907104_ln_0.08999999612569809,noise_0.032499998807907104_ln_0.09749999642372131,noise_0.03999999910593033_ln_0.0,noise_0.03999999910593033_ln_0.007499999832361937,noise_0.03999999910593033_ln_0.014999999664723873,noise_0.03999999910593033_ln_0.022499999031424522,noise_0.03999999910593033_ln_0.029999999329447746,noise_0.03999999910593033_ln_0.03749999776482582,noise_0.03999999910593033_ln_0.044999998062849045,noise_0.03999999910593033_ln_0.05249999836087227,noise_0.03999999910593033_ln_0.05999999865889549,noise_0.03999999910593033_ln_0.06749999523162842,noise_0.03999999910593033_ln_0.07499999552965164,noise_0.03999999910593033_ln_0.08249999582767487,noise_0.03999999910593033_ln_0.08999999612569809,noise_0.03999999910593033_ln_0.09749999642372131,noise_0.04749999940395355_ln_0.0,noise_0.04749999940395355_ln_0.007499999832361937,noise_0.04749999940395355_ln_0.014999999664723873,noise_0.04749999940395355_ln_0.022499999031424522,noise_0.04749999940395355_ln_0.029999999329447746,noise_0.04749999940395355_ln_0.03749999776482582,noise_0.04749999940395355_ln_0.044999998062849045,noise_0.04749999940395355_ln_0.05249999836087227,noise_0.04749999940395355_ln_0.05999999865889549,noise_0.04749999940395355_ln_0.06749999523162842,noise_0.04749999940395355_ln_0.07499999552965164,noise_0.04749999940395355_ln_0.08249999582767487,noise_0.04749999940395355_ln_0.08999999612569809,noise_0.04749999940395355_ln_0.09749999642372131
0,"3,8149152","3,737733","3,6917698","3,667106","3,6669576","3,67493","3,703432","3,7389457","3,780009","3,815562","3,8558137","3,8877268","3,9178846","3,941391","3,8149152","3,7378974","3,6904368","3,6678774","3,6669939","3,67933","3,703746","3,740914","3,7837174","3,8079402","3,8560164","3,8795512","3,9141667","3,9532254","3,8149152","3,7377334","3,6907747","3,6673443","3,6652498","3,6748238","3,7072968","3,738107","3,7784348","3,8126476","3,8601015","3,8757203","3,9182913","3,9468663","3,8149152","3,7379198","3,691459","3,6664953","3,6700196","3,674509","3,7033334","3,7369661","3,7768571","3,8147266","3,8540819","3,9052813","3,9087245","3,932562","3,8149152","3,7380645","3,6912513","3,6669598","3,6680267","3,6714761","3,6961126","3,7418287","3,774884","3,8128653","3,8502333","3,8840275","3,9001932","3,936186","3,8149152","3,738014","3,6887887","3,6649191","3,6660993","3,684212","3,701272","3,7467084","3,7829013","3,8169248","3,84784","3,8941715","3,9122336","3,9540424"
2,"3,8149152","3,6569183","3,6566548","3,816775","3,7732017","3,7515645","3,8028133","3,8972366","3,9733114","4,0820665","4,1802855","4,2989373","4,346622","4,4517474","3,8149152","3,6576488","3,65102","3,811651","3,7587194","3,7591376","3,8030233","3,8900332","3,9772642","4,0621924","4,2085495","4,2995315","4,3879757","4,511319","3,8149152","3,6576955","3,6501548","3,8124452","3,7710323","3,7524536","3,8062077","3,8878827","3,9921982","4,057608","4,209515","4,3114614","4,3582835","4,440671","3,8149152","3,6566224","3,6493874","3,8120873","3,7692654","3,7609787","3,8105373","3,890553","3,9856012","4,070407","4,180522","4,365314","4,377252","4,4789453","3,8149152","3,6574945","3,6481886","3,8087277","3,7637253","3,7690532","3,8106596","3,8840532","3,9770086","4,114605","4,218366","4,301604","4,3761373","4,384974","3,8149152","3,6570327","3,648491","3,809041","3,770489","3,7610252","3,7979815","3,9077866","3,993228","4,1014085","4,225486","4,3409266","4,466553","4,482005"
4,"3,8149152","3,6146908","3,6474023","3,5954695","3,5645173","3,6168456","3,7164783","3,8668308","4,0445576","4,1380577","3,9659424","3,9749656","4,311093","4,791395","3,8149152","3,614853","3,6471834","3,590708","3,5645916","3,6062434","3,7189665","3,8150184","4,047516","4,1700797","4,0411263","4,00312","4,3125496","4,840187","3,8149152","3,615159","3,6494663","3,5936787","3,5832884","3,612492","3,711533","3,8718843","4,0640235","4,037559","4,018916","4,057028","4,398497","4,699218","3,8149152","3,6132104","3,6471593","3,59219","3,5751972","3,6032932","3,7061977","3,8527353","4,064181","4,077503","3,9909084","4,1053686","4,2334833","4,702349","3,8149152","3,61481","3,6508582","3,5936522","3,569931","3,6153276","3,7264152","3,8389282","4,015617","4,146314","4,0452867","3,9757178","4,1686406","4,576373","3,8149152","3,6145396","3,6400375","3,5860426","3,5792058","3,6078143","3,7098193","3,8200665","4,066224","4,220988","3,9968252","4,0016723","4,4560676","4,8602996"
6,"3,8149152","3,5834928","3,5154088","3,6400137","3,6246889","3,6882582","3,8245165","3,9366136","3,9450476","3,9635253","4,093953","4,4606276","4,236344","4,481027","3,8149152","3,5828633","3,5140948","3,6341305","3,5826297","3,6562884","3,813946","3,95218","3,9340167","3,9520595","3,969519","4,4148917","4,1875587","4,5497036","3,8149152","3,5837235","3,5141885","3,6470482","3,6719027","3,668609","3,8205924","3,91406","3,9221582","3,8668497","3,9566412","4,6167083","4,2546144","4,4829826","3,8149152","3,581889","3,511994","3,637057","3,6374824","3,6870658","3,8165693","3,9302065","3,9109507","3,9321308","4,079877","4,4710274","4,2403316","4,753625","3,8149152","3,582519","3,5133927","3,6327236","3,6179278","3,6670575","3,7813005","3,934746","3,9475834","3,9391513","3,923536","4,508383","4,2957306","4,8908315","3,8149152","3,583612","3,5104105","3,6393812","3,6502585","3,6685088","3,810708","3,9395874","3,891049","3,9995768","3,959475","4,5011196","4,243851","4,7817607"
8,"3,8149152","3,5603797","3,4919446","3,5744693","3,7197514","3,6499252","3,7302089","3,8873827","3,9724636","4,036974","4,224291","4,3531075","4,898872","4,8468122","3,8149152","3,559767","3,489882","3,5734658","3,6725736","3,648998","3,7522895","3,924355","3,9762878","4,0292287","4,4830093","4,4461417","4,7990265","5,196081","3,8149152","3,5593252","3,4887486","3,5697188","3,6708305","3,647973","3,7814076","3,908213","3,9261622","4,043914","4,4180627","4,432041","5,2865205","4,9962797","3,8149152","3,5590649","3,4882743","3,5748034","3,720635","3,6536438","3,7929962","3,9681423","3,9951756","4,105839","4,5154366","4,5383525","5,0856895","5,062827","3,8149152","3,5583935","3,490125","3,5666192","3,6987412","3,6573334","3,7817538","3,9839344","4,0046477","4,0271373","4,4258986","4,4504776","5,1432085","5,784819","3,8149152","3,5589151","3,4854147","3,5816998","3,7061136","3,6660717","3,7495205","3,8743293","3,9196525","4,070955","4,5840187","4,3735847","4,753591","5,807826"
10,"3,8149152","3,5451934","3,4938664","3,4627507","3,5734591","3,5916562","3,5428138","3,6787264","3,9170702","3,8020763","4,3496304","4,232765","4,965374","5,235267","3,8149152","3,5450585","3,4912977","3,461508","3,6459413","3,6041539","3,54056","3,6698086","3,9476886","3,9017992","4,273439","4,3382087","4,699443","5,083182","3,8149152","3,5438097","3,489325","3,4587336","3,5160887","3,61269","3,5491393","3,6373858","3,7833178","4,0688205","4,0815277","4,529377","4,5866547","5,794311","3,8149152","3,5426786","3,490131","3,4614196","3,5643516","3,5900106","3,5589535","3,6970124","3,8579545","4,222745","4,386682","4,477114","5,4996686","4,6181226","3,8149152","3,5425923","3,4909248","3,4549975","3,5779855","3,6235013","3,5346377","3,7167096","3,930345","3,7242296","4,244981","4,470581","4,9861355","4,929505","3,8149152","3,543335","3,4820006","3,466051","3,565475","3,6382499","3,5480852","3,678781","3,9176812","4,0887747","4,141389","4,258964","4,559968","5,6284695"
12,"3,8149152","3,533827","3,4922795","3,4427052","3,4247332","3,4543943","3,47675","3,5630507","3,649212","3,6821015","4,012044","3,9995139","4,210921","4,806288","3,8149152","3,5336015","3,492019","3,4405708","3,4572806","3,4612896","3,4795575","3,5633745","3,8033938","3,7551215","3,8237545","4,4857645","4,367902","5,9718795","3,8149152","3,5321999","3,4889855","3,4419005","3,4254234","3,4535851","3,4793303","3,5526006","3,5827663","3,7572188","3,7618449","4,0797505","4,198746","4,7812967","3,8149152","3,5310419","3,4896374","3,4383414","3,433339","3,4551694","3,4822395","3,5781565","3,7827652","4,277904","4,592842","3,9921882","4,3547587","4,3568773","3,8149152","3,5320666","3,4896379","3,4337246","3,422436","3,46133","3,4675305","3,5830157","3,7008023","3,6552331","4,019848","3,9904583","4,648652","4,7811685","3,8149152","3,5316982","3,4828146","3,4412453","3,4285657","3,458002","3,4741385","3,5548549","3,6303148","3,7630281","3,7205548","4,1275578","4,785038","5,9762535"
14,"3,8149152","3,5246727","3,4789436","3,4484043","3,431878","3,4697835","3,4928317","3,5629113","3,600754","3,6943078","3,8602352","3,8895745","3,957566","4,388667","3,8149152","3,5240884","3,4792948","3,4454298","3,4361012","3,4677815","3,4920583","3,5691175","3,611894","3,6745784","3,7846029","4,1116824","4,0103083","5,1078897","3,8149152","3,52316","3,4766698","3,4462025","3,429686","3,4645176","3,491863","3,5597372","3,5882418","3,6224704","3,7382023","3,908761","3,9550765","4,4793334","3,8149152","3,5220542","3,474452","3,4431176","3,4395337","3,4666286","3,4928539","3,5751088","3,6141474","3,7625194","3,9125264","3,8564258","4,030483","4,1875944","3,8149152","3,5231514","3,4783175","3,4406798","3,4305813","3,4669929","3,4816456","3,5726728","3,6096284","3,6665974","3,7971911","3,9003162","4,1437535","4,4256687","3,8149152","3,5221028","3,4761896","3,4463496","3,4353049","3,4694602","3,4837847","3,5560844","3,5966837","3,6970866","3,6980755","3,9813714","4,347986","6,37758"
16,"3,8149152","3,5170355","3,4707518","3,4526484","3,4385834","3,4792516","3,5044582","3,5721748","3,609358","3,7075481","3,8717346","3,8971694","3,975917","4,339547","3,8149152","3,516726","3,4713914","3,4502985","3,442985","3,4765751","3,5029716","3,5784044","3,6100156","3,6850045","3,792997","4,0354795","4,017597","4,8317122","3,8149152","3,5148816","3,469151","3,4497857","3,436707","3,4751365","3,5027308","3,5681188","3,5999002","3,6368895","3,7470107","3,9293058","3,9681451","4,3513694","3,8149152","3,5134726","3,4677298","3,4480166","3,4455814","3,4748266","3,5039802","3,582783","3,6114385","3,7144501","3,9022317","3,8819947","4,054431","4,1638427","3,8149152","3,5142481","3,4704463","3,4449186","3,4366646","3,4767668","3,4926736","3,5805366","3,612213","3,6798635","3,7972796","3,9161816","4,098529","4,4079485","3,8149152","3,5145051","3,469067","3,450421","3,4421287","3,4783835","3,4923978","3,562627","3,6088881","3,7078123","3,7091572","3,989023","3,9551978","5,5675807"
18,"3,8149152","3,5102072","3,4722505","3,4567373","3,4450617","3,4877398","3,5158274","3,5827253","3,6201046","3,7205443","3,8831997","3,909752","3,9919693","4,3513947","3,8149152","3,509542","3,4729366","3,455729","3,4503496","3,4856532","3,5136063","3,5880167","3,6164277","3,6958697","3,8021426","4,039813","4,029128","4,578512","3,8149152","3,5081856","3,4689844","3,4552245","3,4446445","3,4845793","3,5131984","3,5775836","3,6107543","3,6483238","3,756402","3,9485867","3,9893844","4,3642893","3,8149152","3,5064359","3,4689748","3,4514208","3,453203","3,4850307","3,5148375","3,5928104","3,617532","3,7246654","3,915736","3,902115","4,075966","4,1710477","3,8149152","3,50726","3,4717305","3,4491231","3,4430697","3,4871974","3,503404","3,590072","3,6192477","3,6920927","3,8027947","3,930025","4,11167","4,418408","3,8149152","3,5073264","3,4697003","3,454582","3,448712","3,4880352","3,5009727","3,572391","3,620587","3,7188733","3,721421","3,9987905","3,9700036","4,8769407"
