instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.815562,3.8079402,3.8126476,3.8147266,3.8128653,3.8169248
2,4.0820665,4.0621924,4.057608,4.070407,4.114605,4.1014085
4,4.1380577,4.1700797,4.037559,4.077503,4.146314,4.220988
6,3.9635253,3.9520595,3.8668497,3.9321308,3.9391513,3.9995768
8,4.036974,4.0292287,4.043914,4.105839,4.0271373,4.070955
10,3.8020763,3.9017992,4.0688205,4.222745,3.7242296,4.0887747
12,3.6821015,3.7551215,3.7572188,4.277904,3.6552331,3.7630281
14,3.6943078,3.6745784,3.6224704,3.7625194,3.6665974,3.6970866
16,3.7075481,3.6850045,3.6368895,3.7144501,3.6798635,3.7078123
18,3.7205443,3.6958697,3.6483238,3.7246654,3.6920927,3.7188733
20,3.7332,3.7066398,3.659144,3.7358816,3.7034764,3.7310379
22,3.7453299,3.7170987,3.6689494,3.7466774,3.713874,3.7421496
24,3.7563372,3.7269673,3.6787739,3.756625,3.7243042,3.7527192
26,3.766538,3.7364964,3.6878808,3.7655458,3.7340546,3.7618024
28,3.776218,3.745479,3.6966157,3.7735693,3.7430294,3.7711277
30,3.7855616,3.754136,3.7047281,3.781238,3.7514305,3.7795122
32,3.7941556,3.7623155,3.7127287,3.788158,3.7595336,3.7879524
34,3.8026283,3.7699656,3.7203279,3.7948442,3.7676716,3.7960691
36,3.8107176,3.777524,3.7276413,3.8013325,3.7753708,3.8036907
38,3.8184052,3.7846198,3.7348092,3.807524,3.782464,3.8109052
