instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
2,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
4,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
6,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
8,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
10,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
12,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
14,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
16,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
18,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
20,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
22,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
24,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
26,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
28,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
30,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
32,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
34,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
36,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
38,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152,3.8149152
