	noise 0.01
0	3.68
4	3.49
8	3.42
12	3.38
16	3.38
20	3.39
24	3.40
28	3.41
32	3.41
36	3.42
40	3.43
44	3.44
48	3.45
52	3.45
56	3.46
60	3.47
64	3.47
68	3.48
72	3.49
76	3.49
80	3.50
84	3.50
88	3.51
92	3.52
96	3.52
100	3.53
104	3.53
108	3.54
112	3.54
116	3.54
120	3.55
124	3.55
128	3.56
132	3.56
136	3.57
140	3.57
144	3.57
148	3.58
152	3.58
156	3.58
160	3.59
164	3.59
168	3.59
172	3.60
176	3.60
180	3.60
184	3.61
188	3.61
192	3.61
196	3.62

	noise 0.02
0	3.68
4	3.48
8	3.42
12	3.38
16	3.38
20	3.39
24	3.39
28	3.40
32	3.41
36	3.42
40	3.43
44	3.44
48	3.44
52	3.45
56	3.46
60	3.46
64	3.47
68	3.48
72	3.48
76	3.49
80	3.49
84	3.50
88	3.50
92	3.51
96	3.52
100	3.52
104	3.53
108	3.53
112	3.54
116	3.54
120	3.54
124	3.55
128	3.55
132	3.56
136	3.56
140	3.57
144	3.57
148	3.57
152	3.58
156	3.58
160	3.58
164	3.59
168	3.59
172	3.59
176	3.60
180	3.60
184	3.60
188	3.61
192	3.61
196	3.61

	noise 0.03
0	3.68
4	3.49
8	3.42
12	3.39
16	3.39
20	3.39
24	3.40
28	3.40
32	3.41
36	3.42
40	3.43
44	3.44
48	3.44
52	3.45
56	3.46
60	3.47
64	3.47
68	3.48
72	3.48
76	3.49
80	3.50
84	3.50
88	3.51
92	3.51
96	3.52
100	3.52
104	3.53
108	3.53
112	3.54
116	3.54
120	3.55
124	3.55
128	3.55
132	3.56
136	3.56
140	3.57
144	3.57
148	3.57
152	3.58
156	3.58
160	3.58
164	3.59
168	3.59
172	3.59
176	3.60
180	3.60
184	3.60
188	3.61
192	3.61
196	3.61

	noise 0.06
0	3.69
4	3.49
8	3.43
12	3.38
16	3.38
20	3.39
24	3.39
28	3.40
32	3.41
36	3.42
40	3.43
44	3.43
48	3.44
52	3.45
56	3.45
60	3.46
64	3.47
68	3.47
72	3.48
76	3.49
80	3.49
84	3.50
88	3.50
92	3.51
96	3.51
100	3.52
104	3.52
108	3.53
112	3.53
116	3.54
120	3.54
124	3.55
128	3.55
132	3.55
136	3.56
140	3.56
144	3.57
148	3.57
152	3.57
156	3.58
160	3.58
164	3.58
168	3.59
172	3.59
176	3.60
180	3.60
184	3.60
188	3.60
192	3.61
196	3.61

	noise 0.12
0	3.69
4	3.50
8	3.42
12	3.39
16	3.40
20	3.40
24	3.41
28	3.41
32	3.42
36	3.43
40	3.43
44	3.44
48	3.45
52	3.46
56	3.46
60	3.47
64	3.48
68	3.48
72	3.49
76	3.49
80	3.50
84	3.51
88	3.51
92	3.52
96	3.52
100	3.53
104	3.53
108	3.54
112	3.54
116	3.54
120	3.55
124	3.55
128	3.56
132	3.56
136	3.56
140	3.57
144	3.57
148	3.58
152	3.58
156	3.58
160	3.59
164	3.59
168	3.59
172	3.60
176	3.60
180	3.60
184	3.61
188	3.61
192	3.61
196	3.62

	noise 0
0	3.68
4	3.49
8	3.42
12	3.38
16	3.39
20	3.39
24	3.40
28	3.41
32	3.41
36	3.42
40	3.43
44	3.44
48	3.45
52	3.45
56	3.46
60	3.47
64	3.47
68	3.48
72	3.49
76	3.49
80	3.50
84	3.50
88	3.51
92	3.52
96	3.52
100	3.53
104	3.53
108	3.54
112	3.54
116	3.54
120	3.55
124	3.55
128	3.56
132	3.56
136	3.57
140	3.57
144	3.57
148	3.58
152	3.58
156	3.58
160	3.59
164	3.59
168	3.59
172	3.60
176	3.60
180	3.60
184	3.61
188	3.61
192	3.61
196	3.62

